title	abstract	keywords	authors	venue	doi	references	pages	bibtex	source	year	meta_title	link	publisher
Developing Digital Games through Software Reuse	"Gaming is an old humans� habit. Games help in logical development and encourage learning of theoretical and practical concepts. Besides they offer entertainment
and challenge. The advent of the personal computer changed this tradition. Every year new challenges arise in a digital format, which lead the young and adults to spend hours
in front of a computer or TV screen in an attempt to overcome hurdles and reach an objective. Quality, sophistication, and constant innovation are attained through complex
computer software that almost has an obligation to improve as each new title is released, due to this game development becomes a challenge. Considering that a game title is
software and thus faces the same restrictions of business applications, this article intends to analyze, under the optics of reuse, if game development resorts to reuse, and where and how this happens. "	Games; Product Line; Software Reuse; Software Development	Neto, Beatriz Helena; Fernandes, L�cia Abrunhosa; Werner, Cl�udia; Souza, Jano M.	Journal of Information Processing Systems	http://dx.doi.org/10.3745/JIPS.2010.6.2.219		16		Google Scholar	2010	Developing Digital Games through Software Reuse	https://koreascience.kr/article/JAKO201020163390753.pdf	KIPS (Korea Information Processing Society)
Work for Play: Careers in Video Game Development	Video games are not only for play; they also provide work. Making video games is a serious--and big--business. Creating these games is complex and requires the collaboration of many developers, who perform a variety of tasks, from production to programming. They work for both small and large game studios to create games that can be played on many different devices, including console systems, computers, and cell phones. This article covers career options in video game development. The first section provides an overview of the development process. The second section describes four groups of video game occupations: designers, programmers, artists, and others. The third section covers the skills and training workers need for these jobs. The fourth section discusses the benefits and challenges of working in the video game industry. And the fifth section provides job-seeking tips for a career in video game development. Suggested resources for additional information are presented.	Video Games; Development; Occupational Information; Employment Opportunities; Employment Qualifications; Educational Attainment	Liming, Drew; Vilorio, Dennis	Occupational Outlook Quarterly	https://eric.ed.gov/?id=EJ945968		11-f�vr		Google Scholar	2011	Work for Play: Careers in Video Game Development.	https://eric.ed.gov/?id=EJ945968	Association for Computing Machinery
An MDA-based framework for collaborative business process modelling	"Purpose
This paper aims to present a new approach for developing a framework based on a model driven architecture (MDA) for the modelling of technology?independent collaborative processes.

Design/methodology/approach
The paper suggests a new collaborative process modelling approach based on an MDA and a metamodelling technique. The research method, based on the design science approach, was started by identifying the characteristics of the collaborative processes, which distinguish them from the classical intraorganizational ones. Then, the generic collaborative business process (CBP) modelling framework is developed based on MDA approach and definition of a set of transformation rules through three layers: business, process, and technical. After that, the core component of the framework was the proposition of a generic CBP metamodel at PIM/MDA level. The specific collaboration participant's business processes (expressed as BPMN model) are generated from the generic CBP model represented as an UML2 Profile activity diagram, which is compliant to CBP metamodel. Finally, as proof?of?concept, the architecture of an Eclipse?based open development platform is developed implementing an e?Procurement collaborative process.

Findings
The proposed framework for CBP modelling and the generic CBP metamodel contribute towards a more efficient methodology and have consequences for BPM?related collaboration, facilitating the B2B processes modelling and implementation. In order to demonstrate and evaluate the practical applicability of the framework, the architecture of an Eclipse?based open development platform is developed implementing a collaborative business application on the basis of an e?Procurement use case.

Research limitations/implications
There is a need to focus future research efforts on the improvement of the semi?automatic transformation phase from public to private processes which needs human intervention by adding a suitable interfaces at both sides of the B2B interaction. In addition, the problem of semantic heterogeneities regarding the partner's business process elements (business documents, activity/task names) should be tackled by developing an approach that uses ontology.

Practical implications
Business processes developers find a B2B technology?independent solution for implementing and using interorganizational information systems.

Originality/value
The paper provides a framework that enables the CBP modelling and integrates a generic CBP metamodel. Currently, to the best of the authors' knowledge, such a generic metamodel and his instantiation have not so far been developed."	Business process; Collaborative business process; Collaborative business process metamodel; MDA-based framework; E-procurement; UML2 profile; Process management; Team working	Bouchbout, Khoutir; Akoka, Jacky; Alimazighi, Zaia	Business Process Management Journal	https://www.emerald.com/insight/content/doi/10.1108/14637151211283357/full/html?casa_token=mpPxdAoPSnQAAAAA:TadUnDgj7LnKG7kXx7SeBjOLPyTCUMWeAl9efrrDz4b-T4P5hD6H5anWd4q3eZ-zln_1ER4uuIYL5fthV_hpBHGldsU-nCFmOWZ127H6UxvmwRMvgDTL6w				Google Scholar	2012	An MDA?based framework for collaborative business process modelling	https://www.emerald.com/insight/content/doi/10.1108/14637151211283357/full/html?casa_token=mpPxdAoPSnQAAAAA:TadUnDgj7LnKG7kXx7SeBjOLPyTCUMWeAl9efrrDz4b-T4P5hD6H5anWd4q3eZ-zln_1ER4uuIYL5fthV_hpBHGldsU-nCFmOWZ127H6UxvmwRMvgDTL6w	Emerald Insight
A Comparison Between Three SDLC Models Waterfall Model, Spiral Model, and Incremental/Iterative Model	"The computer has become indispensable in today�s life, and it is
widely used in many fields of life such as commerce, education,
industry�etc. The computer saves time in regarding to help
solving complex, long, repeated processes in a short time and
high speed. As the software programs need to handle these
features, many companies produce software programs to
facilitate the works for administrations, banks, offices, etc.
Moreover, software has been in used for analyzing information or solving problems for more than four decades. Creating a
suitable work to develop programs of high quality is the main goal of the software engineering. Usually, clients seek the
assistance from computer and software engineers to solve and handle their problems. There are various models have been
widely in used to develop software products. Common models will be described in this paper. "	SDLC Models; Software Engineering; Waterfall model; Spiral model; Iterative model;	Alshamrani, Adel; Bahattab, Abdullah; Fulton, Ira A.	IJCSI International Journal of Computer Science Issues	https://d1wqtxts1xzle7.cloudfront.net/36637147/SDLC-libre.pdf?1423940228=&response-content-disposition=inline%3B+filename%3DA_Comparison_Between_Three_SDLC_Models_W.pdf&Expires=1726161820&Signature=XHYZ~fSliY2iGbyADM8YvfpjPPO2-V5aoJz2PmsWeR6uL3xwPpflzV1tpCD7xdYqFbu76L6HIti5db0D9ZDMcqHIv9LMiTgM4kWkUhp1MePWsj3~2Hg~mi3fMmv~yiYEbskKsqnwazDIDpJdhEDctVeZ5fG8Ecz-2U~LnTBTmvvpGk~cW5ua8GpKuyWdKTcEEKnI~jfqCE-DiPsW2D4I0i19JGmQbRgFe-cURjeoYJO57XzY7J-jHy2ylKQ0LxSkGvHyDECOVKagc7ZWfTKEIsYWgGb7pLpT1XNwkFk~RVE8egQ0VMxl3JexrTjyMTAuCSxZPdOApes7KZGJGz8iaA__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA				Google Scholar	2015	A Comparison Between Three SDLC Models Waterfall Model, Spiral Model, and Incremental/Iterative Model	https://d1wqtxts1xzle7.cloudfront.net/36637147/SDLC-libre.pdf?1423940228=&response-content-disposition=inline%3B+filename%3DA_Comparison_Between_Three_SDLC_Models_W.pdf&Expires=1726161820&Signature=XHYZ~fSliY2iGbyADM8YvfpjPPO2-V5aoJz2PmsWeR6uL3xwPpflzV1tpCD7xdYqFbu76L6HIti5db0D9ZDMcqHIv9LMiTgM4kWkUhp1MePWsj3~2Hg~mi3fMmv~yiYEbskKsqnwazDIDpJdhEDctVeZ5fG8Ecz-2U~LnTBTmvvpGk~cW5ua8GpKuyWdKTcEEKnI~jfqCE-DiPsW2D4I0i19JGmQbRgFe-cURjeoYJO57XzY7J-jHy2ylKQ0LxSkGvHyDECOVKagc7ZWfTKEIsYWgGb7pLpT1XNwkFk~RVE8egQ0VMxl3JexrTjyMTAuCSxZPdOApes7KZGJGz8iaA__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA	IJCSI International Journal of Computer Science Issues
Comparison of a Traditional and a Video Game Based Balance Training Program	"The aim of the present study is to compare the efficiency of traditional and video game based balance training programs. 22 customers of a health care
centre (age: M = 47.6 yrs; SD = 13.1) volunteered to participate in the experiment. They were randomly assigned to two experimental groups. One group underwent a traditional training program, while the other group trained using the Nintendo Wii Fit TM Balance Board. Between pre and post test procedures, training sessions were performed three times a week for three weeks. In addition to five balance tests (SEBT, ball-handling, two video games, dynamic balance), a questionnaire was applied concerning mood state, self-efficacy, physical activity enjoyment, flow and subjective experience in order to evaluate psychological effects of the interventions. Two-factor analyses of variance showed both general and differential improvements of the two groups for pre and post test measures. Both groups improved their balance performance in 4 of five tests. The traditional group showed a significantly greater improvement in two tests (SEBT: F(1,20) = 8.907, p = .007, ?2 = .308; ball-handling: F(1,20) = 13.578, p = .001, ?2 = .404),
whereas the Wii group showed a significantly greater improvement in one test (Ski Slalom (F(1,20) = 5.101, p = .035, ?2 = .203). Psychological questionnaires revealed neither significant pre-post effects nor differences between the groups for pre and post test measurements. The results confirm that the Nintendo Wii Fit TM may be a suitable medium
of training balance in prevention and rehabilitation of adults. Specific effects of training are more pronounced than transfer between virtual and real performance. "	BALANCE; VIDEO GAMES; NINTENDO Wii Fit TM; REHABILITATION; PREVENTION	Kliem, Annika; Wiemeyer, Josef	International Journal of Computer Science in Sport	https://www.researchgate.net/profile/Josef-Wiemeyer/publication/220244895_Comparison_of_a_traditional_and_a_Video_Game_Based_Balance_Training_Program/links/54806fad0cf25b80dd723663/Comparison-of-a-traditional-and-a-Video-Game-Based-Balance-Training-Program.pdf		12		Google Scholar	2010	Comparison of a traditional and a Video Game Based Balance Training Program.	https://www.researchgate.net/profile/Josef-Wiemeyer/publication/220244895_Comparison_of_a_traditional_and_a_Video_Game_Based_Balance_Training_Program/links/54806fad0cf25b80dd723663/Comparison-of-a-traditional-and-a-Video-Game-Based-Balance-Training-Program.pdf	IACSS
From Game Mod to Low-Budget Film : The Evolution of Machinima	"Machinima was, in its fi rst few years, an art form that sprang out of gaming, and was initially regarded as an extreme form of gaming. However, in the last few years,
machinima has begun to broaden its appeal from its early base of hardcore game fans to a wider group of both creators and viewers. "		Kelland, Matt	NordiCHI '06: Proceedings of the 4th Nordic conference on Human-computer interaction: changing roles	https://direct.mit.edu/books/edited-volume/chapter-pdf/2281403/9780262295369_cab.pdf				Google Scholar	2011	The Machinima Reader - From Game Mod to Low-Budget Film: The Evolution of Machinima	https://direct.mit.edu/books/edited-volume/chapter-pdf/2281403/9780262295369_cab.pdf	The MIT Press
Advanced reduction techniques for model checking			Keiren, Jja Jeroen		https://doi.org/10.6100/IR757862		212		Google Scholar	2013	Advanced reduction techniques for model checking	https://pure.tue.nl/ws/portalfiles/portal/3664911/757862.pdf	Technische Universiteit Eindhoven
Game design tools: Time to evaluate	The art form of the video game has a very idiosyncratic reliance on the process and practice of its designers. We work with creative and computational problems that form a web of deep complexity. And yet, as I have noticed in my professional practice as a game designer, we do not use tools to support our design process. For more than a decade, designers and researchers have argued for the development and use of both conceptual and concrete tools. To this end, formal and semi-formal game design models have been proposed and, more recently, experimental software-based tools have been developed by the research community. To date, however, none of these tools or models have been adopted into mainstream practice within the game design community. In this paper I argue that it is difficult, if not methodologically flawed, to assess the work in the field of game design support without more qualitative data on how such tools fare in actual game design practice. Evaluation research would be an essential contribution towards answering the question of whether � and if so, how - these experimental formal models and tools can support and improve the game design process.	game design; design tools; ludocore; machinations; game atoms; game diagramming	Katharine, Neil	Proceedings of Nordic DiGRA 2012 Conference	https://dl.digra.org/index.php/dl/article/view/606			"@Conference{digra606, title =""Game design tools: Time to evaluate"", year = ""2012"", author = ""Neil, Katharine"", publisher = ""DiGRA"", address = ""Tampere"", howpublished = ""\url{https://dl.digra.org/index.php/dl/article/view/606}"", booktitle = ""Proceedings of Nordic DiGRA 2012 Conference""}"	Google Scholar	2012	Game Design Tools: Time to Evaluate	https://dl.digra.org/index.php/dl/article/view/606	Digital Games Research Association
Modeling and formal verification of gaming storylines	Video games are becoming more and more interactive with increasingly complex plots. These plots typically involve multiple parallel storylines that may converge and diverge based on player actions. This may lead to situations that are inconsistent or impassable. Current techniques for planning and testing game plots involve naive means such as text documents, spreadsheets, and critical path testing. Recent academic research [1] [2] [3] examines the design planning problems, but neglect testing and veri?cation of the possible plot lines. These complex plots have thus until now been handled inadequately due to a lack of a formal methodology and tools to support them. In this dissertation, we describe how we develop methods to 1) characterize storylines (SChar), 2) de?ne a storyline description language (SDL), and 3) create a storyline veri?cation tool based in formal veri?cation techniques (StoCk) that use our SDL as input. SChar (Storyline Characterization) help game developers characterize the category of story line they are working on (e.g. linear, branching and plot) through a tool that give a set of guided questions. Our SDL allows its users to describe storylines in a consistent format similar to how they reason about storylines, but in such a way that it can be used for formal veri?cation. StoCk accepts storylines, described in SDL, to be formally veri?ed using SPIN for errors. StoCk is also examined in three common use cases found in the gaming industry used as a tool 1) during storyline creation 2) during quality assurance and 3) during storyline implementation. The combination of SChar, SDL, and StoCk provides designers, writers, and developers a novel methodology and tools to verify consistency in large and complex game plots.		Holloway, Lane Thomas	UT Electronics Theses and Dissertations	http://hdl.handle.net/2152/41455				Google Scholar	2016	Modeling and formal veri?cation of gaming storylines	http://hdl.handle.net/2152/41455	The University of Texas at Austin
Game Design by Numbers: Instrumental Play and the Quantitative Shift in the Digital Game Industry	"This dissertation chronicles ideological, technological and economic changes in the digital game industry, focusing on how games are transforming as play becomes
instrumentalized. It pays particular attention to the struggles of developers as they search for creative freedom and autonomy in a risk-averse industry. It makes original
contributions to the literature on games by situating and explaining industiy-wide shifts in terms of the socio-economics of game development and the rationalities that drive
individual developers. It contributes to social theory more generally by explaining how transformations in play, games, and creativity are linked to much wider adaptations in the
operation of capitalism and how it is justified to both workers and consumers. I use ground-level accounts from those within the game industry to describe how new media technologies interact with socio-economic forces, detailing the adaptability of capitalist modes of production in the face of critique. I show how definitions of 'games'
and 'play' are changing as they come into contact with technology, allowing games to be reformulated in powerful new ways, so games are not only tools of entertainment but also tools of governance. I argue that the collective valuation of objective quantitative data and the belief in the fallibility of individual creative autonomy has turned game design into ""design by numbers"". The complementary themes of this thesis are bound together by references to the ""New Spirit of Capitalism"" (Boltanski and Chiapello 2007, 2005), which explains how capitalism is continually reorganizing itself, adapting the language and spirit of 1960s counterculture and emphasizing freedom in order to drive though new, more efficient, work practices and more subde forms of exploitation. This ""New Spirit"" accounts for the current upheavals in the game industry. Changes to the Spirit of Capitalism have initiated tectonic shifts, reforming the geography of the game industry and creating fissures in the landscape that allow new game sectors to emerge, while others struggle to avoid being buried. In turn, innovations from the game industry, particularly the emphasis on datadriven design, shore up the weaknesses in the New Spirit of Capitalism, allowing it to operate more successfully."	digital games; game development; game industry; Instrumentalization of Play; New Spirit of Capitalism; governance; surveillance	Whitson, Jennifer R.	Carleton University	https://repository.library.carleton.ca/downloads/bc386j71t				Google Scholar	2013	Game design by numbers : instrumental play and the quantitative shift in the digital game industry	https://repository.library.carleton.ca/downloads/bc386j71t	Carleton University
Usability of Web sites, methods and evaluation techniques	In the present society, the relevance of the Web is unquestionable and there is a great variety of Web sites that offer services to users. In this context, usability plays a fundamental role in the process of developing successful Web sites. In this article we review different definitions about the discipline of usability, its incorporation in the engineering process (usability engineering) and its relation to software engineer, as well as its attributes and evaluation methods. The considerations about the evaluation system of the Web usability are also presented, advising the user and basing it in the establishment of critical tasks (SIRIUS, reviewed by the authors).	Web site; usability; usability evaluation; heuristic; expert; classification of Web sites; Web tools	Jaimes, Oscar Mauricio Serrano; Gonzalez, Carlos Alberto Rodriguez; de Sistemas, Ingeniero	Revista Cubana de Informaci�n en Ciencias de la Salud	http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2307-21132013000200007				Google Scholar	2012	EVALUACION DE LA USABILIDAD EN SITIOS WEB, BASADA EN EL ESTANDAR ISO 9241-11 (International Standard (1998) Ergonomic requirements For office work with visual display terminals (VDTs)-Parts II: Guidance on usability	http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2307-21132013000200007	SciELO
Jumping the Gap: Indie Labour and the Imagined Indie Community	Due to the recent proliferation of free-to-use, professional-quality development tools, crowdsourced fundraising, and the ascendency of digital distribution platforms, �indie� digital game developers are emerging on an unprecedented scale. Based on ethnographic research conducted at indie accelerator Execution Labs from January to June of 2015, this thesis explores how indie developers frame risk, creativity, success, and failure in relation to the communities they are a part of. The first three chapters highlight useful concepts from Gina Neff�s �Venture Labour� (2012), describe Execution Labs from the researcher�s perspective, and detail the researcher�s approach to collaborative embedded ethnography, respectively. The fourth chapter is dedicated to two related purposes: the first part will posit that communities of indie developers and indie fans share a common creative discourse, and thus constitute what Benedict Anderson has termed an �Imagined Community� (2006). The latter portion of the chapter will explore how Newgrounds.com facilitated discourses about digital games and Macromedia Flash, and how the resultant imagined communities have influenced contemporary indie identity and development practice. The final chapter opens by proposing a definition of �indie labour�: a creative, communitarian strategy with which indie developers manage the risks they face. It will then consider the stories of those who performed indie labour as part of Execution Labs. This thesis will conclude by ruminating on potential future avenues of study and ongoing issues that hinder indie development�s potential as an open and accessible praxis.		Browne, Pierson	Communication Studies	https://spectrum.library.concordia.ca/id/eprint/980737/				Google Scholar	2015	Jumping the Gap: Indie Labour and the Imagined Indie Community	https://spectrum.library.concordia.ca/id/eprint/980737/	Concordia University
Bomberman as an Artificial Intelligence Platform	"Computer games have a long tradition in the Artificial Intelligence (AI) field. They serve the purpose of establishing challenging goals with long term positive repercussions, with researchers trying to develop AIs capable of beating the world human experts. They also provide a good amount of exposition in mainstream media, whilst also giving an engaging environment for teaching computer science concepts in general and AI methods in particular. This thesis aims precisely to contribute to the educational gaming landscape, by providing a novel Bomberman themed platform and several associated intelligent agents. Our first major contribution is precisely the platform itself, Bomberman
as an Artificial Intelligence Platform (BAIP). We provide a fully functional opensource, graphical, language agnostic platform, aimed towards facilitating the study and development of AI methods. We showcase the potential of BAIP and the richness of the selected game environment by developing a plethora of AI agents using different methodologies. At an initial level we introduce a set of basic heuristic methods capable of providing agents with the most essential behavior primitives, equipping them for basic survival in the game environment. At a more advanced level we introduce search-based methods capable of some form of planning. From a machine learning perspective we show how BAIP can be integrated and used with Reinforcement Learning (RL). We use a simple RL problem within the platform and implement both Q-learning and Sarsa algorithms in order to tackle it. This thesis also provides detailed and thorough experimental results about all the developed agents and methods, using the developed platform capabilities. To sum up, this work introduces a new AI platform, gives a strong baseline agent and demonstrates the feasibility of using it for machine learning tasks."		Manuel Ant�nio da Cruz Lopes		https://repositorio-aberto.up.pt/bitstream/10216/91011/2/176444.pdf		96		Google Scholar	2016	Bomberman as an Artificial Intelligence Platform	https://repositorio-aberto.up.pt/bitstream/10216/91011/2/176444.pdf	Faculdade de Ciencias da Universidade do Porto
Requirements Engineering in Scrum Framework	Requirement Engineering (RE) plays an important role in the success of software development life cycle. As RE is the starting point of the life cycle, any changes in requirements will be costly and time consuming. Failure in determining accurate requirements leads to errors in specifications and therefore to a mal system architecture. In addition, most of software development environments are characterized by user requests to change some requirements.Scrum as one of agile development methods that gained a great attention because of its ability to deal with the changing environments. This paper presents and discusses the current situation of RE activities in Scrum, how Scrum benefits from RE techniques and future challenges in this respect.	Agile; Requirement Engineering; Software Development; Scrums	Darwish, Nagy Ramadan; Megahed, Salwa	International Journal of Computer Applications	https://www.researchgate.net/profile/Nagy-Ramadan/publication/308186449_Requirements_Engineering_in_Scrum_Framework/links/57de46b008aeea195938d140/Requirements-Engineering-in-Scrum-Framework.pdf		6		Google Scholar	2016	Requirements Engineering in Scrum Framework	https://www.researchgate.net/profile/Nagy-Ramadan/publication/308186449_Requirements_Engineering_in_Scrum_Framework/links/57de46b008aeea195938d140/Requirements-Engineering-in-Scrum-Framework.pdf	Foundation of Computer Science
Software in 30 days: how agile managers beat the odds, delight their customers, and leave competitors in the dust	We, Jeff and Ken, have been in the software industry, collectively, for 70 years. We have been software developers, managers in IT organizations and software product companies, and owners of both product companies and service organizations. More than 20 years ago, we created a process that lets organizations deliver software better. Since then, we have helped hundreds of organizations do the same. Our work has spread further than we have ever imagined possible, being put to use by millions of people. We are humbled by the extent of its adoption, and we are awed by the feats people have accomplished using it. This is not the first book we have written on the topic of building software. It is, however, the first book we have written for people who do not themselves build software. This book is instead for leaders within organizations that depend on software for their survival and competitiveness. It is for leaders within organizations that can benefit from developing software rapidly, inerementally. and with the best return on investment possible. It is for leaders who face business and technological complexity that has made the delivery of software difficult. We have written this book so that these leaders can help their organizations achieve these goals, enhance their internal capabilities, improve their product offerings, and more. This book is for chief executive officers (CEOs), executives, and senior managers who need their organizations to deliver better software in less time, with lower cost, greater predictability, and lower risk. For this audience, we have a message: You may have had negative experiences with software devel- opment in the past, but the industry has turned a corner. The software profes- sion has radically improved its methods and its results. The uncertainty, risk, and waste to which you are accustomed are no longer par for the course. We have worked with many software organizations that have already turned the corner; we want to help you do so, too. In this book, we show you how to create business value using a process that delivers complete pieces of software functionality at least every 30 days. This book will show you how you can prioritize the functionality you want and have it delivered � la carte. It will show you how to gain transparency not only into business value, by tracking functionality delivered against functionality desired, but also into the health of the software development process and your organization as a whole. The tools in this book will help you work with your software organization to get up to speed with modern practices and begin to deliver the results you've been expecting all along. This is software in 30 days.		Schwaber, Ken; Sutherland, Jeff	Software in 30 Days	https://books.google.ca/books?hl=en&lr=&id=FSQbYl5HMo8C&oi=fnd&pg=PP11&dq=Software+in+30+Days:+How+Agile+Managers+Beat+the+Odds,+Delight+Their+Customers,+And+Leave+Competitors+In+the+Dust+-+The+Scrum+Guide&ots=V6fElsfP-i&sig=1MZtgdg3yY7QYqedHD2x_gdHmTU#v=onepage&q=Software%20in%2030%20Days%3A%20How%20Agile%20Managers%20Beat%20the%20Odds%2C%20Delight%20Their%20Customers%2C%20And%20Leave%20Competitors%20In%20the%20Dust%20-%20The%20Scrum%20Guide&f=false		185		Google Scholar	2015	Software in 30 Days: How Agile Managers Beat the Odds, Delight Their Customers, And Leave Competitors In the Dust - The Scrum Guide	https://books.google.ca/books?hl=en&lr=&id=FSQbYl5HMo8C&oi=fnd&pg=PP11&dq=Software+in+30+Days:+How+Agile+Managers+Beat+the+Odds,+Delight+Their+Customers,+And+Leave+Competitors+In+the+Dust+-+The+Scrum+Guide&ots=V6fElsfP-i&sig=1MZtgdg3yY7QYqedHD2x_gdHmTU#v=onepage&q=Software%20in%2030%20Days%3A%20How%20Agile%20Managers%20Beat%20the%20Odds%2C%20Delight%20Their%20Customers%2C%20And%20Leave%20Competitors%20In%20the%20Dust%20-%20The%20Scrum%20Guide&f=false	John Wiley & Sons
Gaming Culture at the Boundaries of Play	As the field of game studies and research has matured, multiple valid, yet somewhat differently oriented approaches to games, play and players have emerged. One of them is the cultural study of games and play related phenomena. Both the British and American traditions of cultural studies have been particularly interested in advancing our understanding of popular culture by tracing its position and significance from perspectives opened up by politics, economics, sociology, as well as by literary or textual studies, to mention just a few elements from this highly interdisciplinary field. Where the hallmark of British cultural studies used to be reliance on some version of Marxism or left-wing critique of capitalist society and its cultural industries, and the American approach to cultural studies was more likely to develop liberalist analyses of empowered audiences, or fandom activities, this divide does not stand out so clearly these days. While approaching Cheating by Mia Consalvo, it is nevertheless useful to be keep in mind such intellectual traditions and debates.		Frans M�yr�	Game Studies	https://gamestudies.org/1001/articles/mayra				Google Scholar	2010	Gaming Culture at the Boundaries of Play. Review of �Cheating: Gaining Advantage in Videogames� by Mia Consalvo, (MIT Press 2007)	https://gamestudies.org/1001/articles/mayra	Game Studies
Engineering emergence: applied theory for game design	Dit proefschrift presenteert twee theoretische kaders voor het ontwerpen van games en beschrijft hoe game designers deze kunnen inzetten om het game ontwerpproces te stroomlijnen. Er bestaan op dit moment meerdere ontwerptheorie�en voor games, maar geen enkele kan rekenen op een breed draagvlak binnen de game industrie. Vooral academische ontwerptheorie�en hebben regelmatig een slechte reputatie. Het eerste kader dat game designers inzicht biedt in spelregels en hun werking heet Machinations en maakt gebruik van dynamische, interactieve diagrammen. Het tweede theoretische kader van dit proefschrift, Mission/Space, richt zich op level-ontwerp en spelmechanismen die de voortgang van een speler bepalen. In tegenstelling tot bestaande modellen voor level-ontwerp, bouwt Mission/Space voort op het idee dat er in een level twee verschillende structuren bestaan. Mission-diagrammen worden gebruikt om de structuur van taken en uitdagingen voor de speler te formaliseren, terwijl space-diagrammen de ruimtelijke constructie formaliseren. Beide constructies zijn aan elkaar gerelateerd, maar zijn niet hetzelfde. De verschillende wijzen waarop missies geprojecteerd kunnen worden op een bepaalde ruimte speelt uiteindelijk een belangrijke rol in de totstandkoming van de spelervaring.		Dormans, Joris		https://research.hva.nl/en/publications/engineering-emergence-applied-theory-for-game-design				Google Scholar	2012	Engineering emergence: applied theory for game design	https://research.hva.nl/en/publications/engineering-emergence-applied-theory-for-game-design	Universiteit van Amsterdam
The Free Lunch Is Over: A Fundamental Turn Toward Concurrency in Software	Your free lunch will soon be over. What can you do about it? What are you doing about it? The major processor manufacturers and architectures, from Intel and AMD to Sparc and PowerPC, have run out of room with most of their traditional approaches to boosting CPU performance. Instead of driving clock speeds and straight-line instruction throughput ever higher, they are instead turning en masse to hyperthreading and multicore architectures. Both of these features are already available on chips today; in particular, multicore is available on current PowerPC and Sparc IV processors, and is coming in 2005 from Intel and AMD. Indeed, the big theme of the 2004 In-Stat/MDR Fall Processor Forum was multicore devices, as many companies showed new or updated multicore processors. Looking back, it�s not much of a stretch to call 2004 the year of multicore. And that puts us at a fundamental turning point in software development, at least for the next few years and for applications targeting general-purpose desktop computers and low-end servers (which happens to account for the vast bulk of the dollar value of software sold today). In this article, I�ll describe the changing face of hardware, why it suddenly does matter to software, and how specifically the concurrency revolution matters to you and is going to change the way you will likely be writing software in the future. Arguably, the free lunch has already been over for a year or two, only we�re just now noticing.		Sutter, Herb	Dr. Dobb's Journal	http://www.mscs.mu.edu/~rge/cosc2200/homework-fall2013/Readings/FreeLunchIsOver.pdf		8		Google Scholar	2013	The Free Lunch Is Over A Fundamental Turn Toward Concurrency in Software	http://www.mscs.mu.edu/~rge/cosc2200/homework-fall2013/Readings/FreeLunchIsOver.pdf	Guru of the Week
Underrepresented Youth Creating Culturally Relevant Games	By incorporating culture into working with technology, SDK Bridge attempts to inspire underrepresented youth to consider pursuing careers in technology fields.	entertainment computing; STEM education; SDK Bridge; speech recognition; ethnobotany	Gruenbaum, Peter	COMPUTER	https://doi.org/10.1109/MC.2012.357		91-93		Web of Science	2012	Underrepresented Youth Creating Culturally Relevant Games	https://doi.org/10.1109/MC.2012.357	IEEE COMPUTER SOC
Methods for Game User Research Studying Player Behavior to Enhance Game Design	The emerging field of game user research (GUR) investigates interaction between players and games and the surrounding context of play. Game user researchers have explored methods from, for example, human-computer interaction, psychology, interaction design, media studies, and the social sciences. They've extended and modified these methods for different types of digital games, such as social games, casual games, and serious games. This article describes several current GUR methods. A case study illustrates two specific methods: think-aloud and heuristics.	game user research; computer games; human-computer interaction; software development; computer graphics; think-aloud; Rapid Iterative Testing and Evaluation; RITE; heuristics; playtesting; game usability; game playability; A/B testing	Desurvire, Heather; El-Nasr, Magy Self	IEEE COMPUTER GRAPHICS AND APPLICATIONS	https://doi.org/10.1109/MCG.2013.61		82-87		Web of Science	2013	Methods For Game User Research Studying Player Behavior To Enhance Game Design	https://doi.org/10.1109/MCG.2013.61	IEEE COMPUTER SOC
Hidden Dragon: Research Findings from Asia in Games for Health			Mellecker, Robin R.	GAMES FOR HEALTH JOURNAL	https://doi.org/10.1089/g4h.2015.0016		159-160		Web of Science	2015	Hidden Dragon: Research Findings From Asia In Games For Health	https://doi.org/10.1089/g4h.2015.0016	MARY ANN LIEBERT, INC
Write-once,transpile-everywhere:Re-usingmotioncontrollersofvirtualhumansacrossmultiplegameengines|Signedin	Transpilation allows to write code once and re-use it across multiple runtime environments. In this paper, we propose a software development practice to implement once the motion controllers of virtual humans and re-use the implementation in multiple game engines. In a case study, three common human behaviors � blinking, text-to-speech, and eye-gaze � were developed in the Haxe programming language and deployed in the free, open-source Blender Game Engine and the commercial Unity engine. Performance tests show that transpiled code executes within 67% faster to 127% slower with respect to an implementation manually written in the game engine target languages.	Haxe; Motion controller; Software architecture; Transpilation; Virtual humans	Nunnari, Fabrizio; Heloir, Alexis	Augmented Reality, Virtual Reality, and Computer Graphics, Avr 2018, Pt I	https://doi.org/10.1007/978-3-319-95270-3_37				Scopus	2018	Write-Once, Transpile-Everywhere: Re-Using Motion Controllers Of Virtual Humans Across Multiple Game Engines	https://doi.org/10.1007/978-3-319-95270-3_37	
